tick,time_sec,spike_count_total,epg_spike_count,driver_spike_count,stim_afferent_spike_count,spike_ids
41,0.041000,21,0,0,4,720575940609713710|720575940612358642|720575940612603289|720575940620123631|720575940622057057|720575940622158369|720575940622416628|720575940623302988|720575940624082931|720575940624163303|720575940624402173|720575940625587642|720575940627493148|720575940629459718|720575940629975516|720575940631207388|720575940631759663|720575940635540671|720575940639092201|720575940639172585|720575940640486488
42,0.042000,12,0,0,3,720575940616449465|720575940623276988|720575940623689959|720575940623758377|720575940624816115|720575940628644239|720575940632875746|720575940633308371|720575940633575575|720575940640652752|720575940641585627|720575940651932150
43,0.043000,18,0,1,2,720575940613408552|720575940616286175|720575940616604817|720575940618440000|720575940619675200|720575940622147873|720575940622303446|720575940623067389|720575940624323475|720575940624885250|720575940627826760|720575940629489260|720575940629600630|720575940629662208|720575940631844300|720575940632803795|720575940633178508|720575940634257890
44,0.044000,15,0,0,1,720575940611735514|720575940612943539|720575940613917359|720575940614730914|720575940618942977|720575940621116510|720575940623126697|720575940623888397|720575940624891941|720575940625691372|720575940626113661|720575940626768442|720575940627820806|720575940632962786|720575940640696027
45,0.045000,26,0,0,0,720575940604690278|720575940608127666|720575940610621026|720575940615084339|720575940617110028|720575940620918789|720575940621507549|720575940621814911|720575940622132545|720575940622516852|720575940622979848|720575940624130253|720575940624986919|720575940626210536|720575940627053861|720575940628577897|720575940628791812|720575940630607738|720575940631180599|720575940632898105|720575940634748385|720575940635776760|720575940639542691|720575940640325429|720575940644615716|720575940650119289
46,0.046000,21,0,0,2,720575940605658033|720575940606421122|720575940606756030|720575940611811704|720575940618156829|720575940620061793|720575940620983902|720575940622160705|720575940622416628|720575940623122125|720575940623302988|720575940623444044|720575940625561406|720575940625563623|720575940625970471|720575940630046524|720575940631319084|720575940632669800|720575940636360811|720575940636411534|720575940646183220
47,0.047000,17,0,0,2,720575940605807206|720575940609713710|720575940614363363|720575940616936226|720575940619922512|720575940621477312|720575940623432918|720575940623673821|720575940624679463|720575940628375306|720575940628494695|720575940630657015|720575940632875746|720575940633800860|720575940636992368|720575940640205501|720575940645834275
48,0.048000,17,0,0,2,720575940608140380|720575940609592270|720575940612358642|720575940617886533|720575940620657857|720575940621367572|720575940621766938|720575940621804159|720575940622945037|720575940623358099|720575940623702345|720575940627706398|720575940628644239|720575940631043139|720575940631189817|720575940633799787|720575940637902938
49,0.049000,16,0,0,1,720575940616286175|720575940617243393|720575940619245016|720575940620091038|720575940620298772|720575940620746478|720575940621174337|720575940624163303|720575940625436170|720575940628908548|720575940629225463|720575940629327659|720575940631844300|720575940632962786|720575940633208647|720575940634274458
50,0.050000,21,0,0,3,720575940604009952|720575940604470240|720575940604735660|720575940610236514|720575940611813842|720575940613408552|720575940614187006|720575940614730914|720575940618635072|720575940619549598|720575940621716835|720575940622219190|720575940622303446|720575940623758377|720575940624313406|720575940624559644|720575940626768442|720575940627253604|720575940627787609|720575940633308371|720575940637586751
51,0.051000,30,0,0,2,720575940607725321|720575940608188427|720575940609097429|720575940609343089|720575940614570415|720575940618936710|720575940621116807|720575940621519130|720575940621819630|720575940622183194|720575940622416628|720575940622633716|720575940622998627|720575940623302988|720575940623478115|720575940624323110|720575940624850434|720575940624902729|720575940626773523|720575940627351543|720575940629513222|720575940629662208|720575940631299602|720575940631306284|720575940631309866|720575940631721785|720575940631759663|720575940631985349|720575940635540671|720575940637689486
52,0.052000,10,0,0,0,720575940607949781|720575940612868757|720575940617755220|720575940619948880|720575940624986919|720575940626500745|720575940633705636|720575940634790648|720575940636360811|720575940637635305
53,0.053000,7,0,0,1,720575940605494560|720575940615792523|720575940619155995|720575940619397797|720575940624816115|720575940628456553|720575940628644239
54,0.054000,13,0,0,1,720575940605780140|720575940608098261|720575940611428977|720575940612358642|720575940613598105|720575940616861697|720575940621065301|720575940621638534|720575940624876889|720575940629975516|720575940630506358|720575940632713759|720575940636997744
55,0.055000,20,0,0,3,720575940606039241|720575940609713710|720575940613863731|720575940614562271|720575940618355870|720575940620481240|720575940623096870|720575940625935544|720575940626138701|720575940626555440|720575940627872515|720575940627924227|720575940628197392|720575940628695043|720575940631656147|720575940631844300|720575940632875746|720575940633984851|720575940639092201|720575940640486488
56,0.056000,10,0,0,1,720575940615084339|720575940616575557|720575940621814911|720575940622303446|720575940623153788|720575940623553260|720575940626662277|720575940627044885|720575940628834151|720575940641832333
57,0.057000,9,0,0,4,720575940612308963|720575940613635737|720575940622416628|720575940623302988|720575940623758377|720575940626768442|720575940629123454|720575940632689199|720575940636411534
58,0.058000,9,0,0,0,720575940611563310|720575940616821597|720575940621545606|720575940625912871|720575940627497244|720575940629630679|720575940630098284|720575940633953434|720575940639172585
59,0.059000,15,0,0,0,720575940606573490|720575940612359343|720575940615526978|720575940619559815|720575940621024545|720575940622584069|720575940624130253|720575940625557893|720575940625952755|720575940626111619|720575940631011328|720575940631207388|720575940631714119|720575940633518176|720575940638526278
60,0.060000,15,0,0,5,720575940606421122|720575940609713710|720575940612358642|720575940614137907|720575940614456332|720575940616167730|720575940619701231|720575940624619036|720575940624986919|720575940628375306|720575940628644239|720575940628861660|720575940631844300|720575940632875746|720575940636360811
61,0.061000,23,0,0,1,720575940604731838|720575940608140380|720575940611982997|720575940612281586|720575940613891442|720575940613915823|720575940615160239|720575940618332757|720575940619681006|720575940619896711|720575940620868432|720575940622303446|720575940625779075|720575940626363529|720575940627293370|720575940628346634|720575940628446010|720575940629426025|720575940630372982|720575940630745282|720575940633631396|720575940636635760|720575940637586751
62,0.062000,18,0,0,3,720575940605807206|720575940607447491|720575940611772514|720575940623302988|720575940623358099|720575940623748789|720575940623758377|720575940624231143|720575940624394790|720575940625552412|720575940626039996|720575940626768442|720575940631575327|720575940635170484|720575940636347128|720575940639124029|720575940639542691|720575940648606340
63,0.063000,5,0,0,1,720575940621393172|720575940622416628|720575940625970471|720575940627493148|720575940642262157
64,0.064000,17,0,0,0,720575940604009952|720575940611516586|720575940617313841|720575940618678045|720575940619549598|720575940619636615|720575940620899542|720575940621367572|720575940623158601|720575940623618708|720575940624885250|720575940625345511|720575940625587642|720575940630006636|720575940632669800|720575940635540671|720575940639179891
