tick,time_sec,epg_spike_count,epg_spike_ids
277,0.277000,0,
278,0.278000,0,
279,0.279000,0,
280,0.280000,0,
281,0.281000,0,
282,0.282000,0,
283,0.283000,0,
284,0.284000,0,
285,0.285000,0,
286,0.286000,0,
287,0.287000,0,
288,0.288000,0,
289,0.289000,0,
290,0.290000,0,
291,0.291000,0,
292,0.292000,1,720575940642634532
293,0.293000,1,720575940628802041
294,0.294000,3,720575940610453427|720575940613836438|720575940620020694
295,0.295000,0,
296,0.296000,0,
297,0.297000,0,
298,0.298000,1,720575940604801993
299,0.299000,2,720575940613829900|720575940631708836
300,0.300000,3,720575940620282906|720575940628843458|720575940633719487
301,0.301000,1,720575940616569601
302,0.302000,0,
303,0.303000,0,
304,0.304000,0,
305,0.305000,0,
306,0.306000,0,
307,0.307000,0,
308,0.308000,0,
309,0.309000,1,720575940627140551
310,0.310000,0,
311,0.311000,0,
312,0.312000,0,
313,0.313000,0,
314,0.314000,0,
315,0.315000,0,
316,0.316000,0,
317,0.317000,0,
318,0.318000,0,
319,0.319000,0,
320,0.320000,0,
321,0.321000,0,
322,0.322000,0,
323,0.323000,0,
324,0.324000,0,
325,0.325000,0,
326,0.326000,0,
327,0.327000,0,
328,0.328000,0,
329,0.329000,0,
330,0.330000,0,
331,0.331000,0,
332,0.332000,0,
333,0.333000,0,
334,0.334000,0,
335,0.335000,1,720575940636730694
336,0.336000,1,720575940628843458
337,0.337000,0,
338,0.338000,2,720575940619296365|720575940642634532
339,0.339000,1,720575940632844002
340,0.340000,2,720575940631125036|720575940638850512
341,0.341000,1,720575940635461550
342,0.342000,1,720575940610453427
343,0.343000,1,720575940625351354
344,0.344000,2,720575940627140551|720575940628802041
345,0.345000,1,720575940623046548
346,0.346000,0,
347,0.347000,0,
348,0.348000,0,
349,0.349000,0,
350,0.350000,0,
351,0.351000,0,
352,0.352000,0,
353,0.353000,0,
354,0.354000,0,
355,0.355000,0,
356,0.356000,0,
357,0.357000,0,
358,0.358000,0,
359,0.359000,0,
360,0.360000,0,
361,0.361000,0,
362,0.362000,0,
363,0.363000,0,
364,0.364000,0,
365,0.365000,0,
366,0.366000,0,
367,0.367000,0,
368,0.368000,0,
369,0.369000,0,
370,0.370000,0,
371,0.371000,0,
372,0.372000,0,
373,0.373000,0,
374,0.374000,3,720575940613829900|720575940613836438|720575940628843458
